index,name_uz,name_ar,nuzul_order,nuzul_place,ayat_count
1,Fotiha,الفاتحة,5,Makkiy,7
2,Baqara,البقرة,87,Madaniy,286
3,Oli Imron,آل عمران,89,Madaniy,200
4,Niso,النساء,92,Madaniy,176
5,Moida,المائدة,112,Madaniy,120
6,An’om,الأنعام,55,Makkiy,165
7,A’rof,الأعراف,39,Makkiy,206
8,Anfol,الأنفال,88,Madaniy,75
9,Tavba,التوبة,113,Madaniy,129
10,Yunus,يونس,51,Makkiy,109
11,Hud,هود,52,Makkiy,123
12,Yusuf,يوسف,53,Makkiy,111
13,Ro’d,الرعد,96,Makkiy,43
14,Ibrohim,إبراهيم,72,Makkiy,52
15,Hijr,الحجر,54,Makkiy,99
16,Nahl,النحل,70,Makkiy,128
17,Isro,الإسراء,50,Makkiy,111
18,Kahf,الكهف,69,Makkiy,110
19,Maryam,مريم,44,Makkiy,98
20,toha,طه,45,Makkiy,135
